,Outlier Date,Outlier Price,Outlier Type,Actual Market Trend,Actual Slope,Predicted Market Trend,Predicted Slope,Position Type,Entry Date,Entry Price,Exit Date,Exit Price,Trading Days,Profit,model_RMSE,model_accuracy,theils_u,Pair
0,2022-03-14,1.388696,Positive,Momentum Continuation,44.47919720819677,Momentum Continuation,43.84224923968061,Long,2022-03-15,1.36957,2022-03-18,1.3701643,3,0.04339013713024161,0.03537918834965964,97.54,0.013181734353305996,USDAUD
1,2022-04-25,1.3931,Positive,Momentum Continuation,44.631293551824214,Momentum Continuation,43.93395749760858,Long,2022-04-26,1.374049,2022-05-11,1.3809648,11,0.5033159650255528,0.04546143810931554,97.08,0.016322482784131207,USDAUD
2,2022-05-04,1.379025,Negative,Mean Reversion,45.17765906213586,Mean Reversion,44.84534641849057,Long,2022-05-05,1.4014306,2022-05-05,1.4014306,0,0.0,0.02826041569610923,98.39,0.009882540210076429,USDAUD
3,2022-06-13,1.4405071,Positive,Momentum Continuation,45.969387239240184,Momentum Continuation,45.20179648834282,Long,2022-06-14,1.4126037,2022-06-29,1.4133184,11,0.05059166082337907,0.03456131186666325,97.82,0.01202185336571948,USDAUD
4,2022-07-11,1.4835,Positive,Momentum Continuation,48.05929161356789,Momentum Continuation,46.82402802678633,Long,2022-07-12,1.4631222,2022-07-27,1.4658482,11,0.18631107733298874,0.026802783898453694,98.38,0.009154630746895922,USDAUD
5,2022-08-02,1.45121,Positive,Momentum Continuation,46.42544713298319,Momentum Continuation,46.39400632645232,Long,2022-08-03,1.4484385,2022-08-09,1.4527935,4,0.30066541935344754,0.023059495033016426,98.78,0.0075178108513279,USDAUD
6,2022-08-29,1.4476599,Positive,Momentum Continuation,46.88025736047615,Momentum Continuation,45.83826173206255,Long,2022-08-30,1.4320458,2022-09-02,1.4326879,3,0.044835243798089564,0.04463318820169937,97.1,0.015282472304415252,USDAUD
7,2022-09-13,1.4828,Positive,Momentum Continuation,46.72136363965333,Momentum Continuation,47.096176825104806,Long,2022-09-14,1.4710544,2022-09-29,1.4735183,11,0.16748650071608015,0.05308686467685001,96.98,0.017526196804238222,USDAUD
8,2022-09-26,1.5451652,Positive,Momentum Continuation,49.16504922170865,Momentum Continuation,48.730244587829304,Long,2022-09-27,1.523401,2022-10-12,1.5285078,11,0.33522405994609683,0.0439220525429981,97.64,0.014181307369164772,USDAUD
9,2022-10-10,1.5880578,Positive,Momentum Continuation,51.38902069648108,Momentum Continuation,50.05804911246652,Long,2022-10-11,1.5648534,2022-10-26,1.5688637,11,0.25627446209482757,0.02251513382770259,98.69,0.006867039351191766,USDAUD
10,2022-10-21,1.5379174,Negative,Mean Reversion,46.428737349531374,Mean Reversion,47.23748466126096,Long,2022-10-24,1.5744629,2022-10-24,1.5744629,0,0.0,0.033539888990669856,98.27,0.010995080747813057,USDAUD
11,2022-10-24,1.5797788,Positive,Momentum Continuation,49.11158893096288,Momentum Continuation,50.274590857669246,Long,2022-10-25,1.5709978,2022-10-26,1.5710523,1,0.0034677734200858445,0.04300862244447886,97.8,0.014207437938874001,USDAUD
12,2022-11-04,1.5468,Negative,Mean Reversion,46.713497807428894,Mean Reversion,47.10213339943115,Long,2022-11-08,1.570134,2022-11-18,1.5719771,8,0.11738455281238158,0.07240353055087766,95.44,0.023709712619475774,USDAUD
13,2022-11-10,1.5136379,Negative,Mean Reversion,47.4188573935364,Mean Reversion,49.1705777754428,Long,2022-11-11,1.5355064,2022-11-11,1.5355064,0,0.0,0.04736539514964812,96.93,0.015772832706695078,USDAUD
14,2022-12-15,1.4912241,Positive,Momentum Continuation,47.77086632754201,Momentum Continuation,47.05862102014758,Long,2022-12-16,1.4705495,2022-12-21,1.4706025,3,0.0036073682076397896,0.015929039748918676,99.04,0.005377921431421885,USDAUD
15,2023-01-04,1.46432,Negative,Mean Reversion,46.91071348975489,Mean Reversion,47.144206574292056,Long,2023-01-05,1.4729897,2023-01-05,1.4729897,0,0.0,0.03921591862638848,97.48,0.01367985298001921,USDAUD
16,2023-01-06,1.4528549,Negative,Mean Reversion,43.295258433566595,Mean Reversion,43.98843380094113,Long,2023-01-09,1.465774,2023-01-09,1.465774,0,0.0,0.03630354824133332,97.68,0.012823634694633882,USDAUD
17,2023-01-30,1.4168119,Positive,Momentum Continuation,45.04778401016103,Momentum Continuation,45.01554229784995,Long,2023-01-31,1.4067453,2023-02-13,1.4068264,9,0.005762401769057343,0.035779992750515306,97.71,0.012496313191978891,USDAUD
18,2023-02-01,1.3990514,Negative,Mean Reversion,45.871444446281494,Mean Reversion,45.151104213681336,Long,2023-02-02,1.4106447,2023-02-02,1.4106447,0,0.0,0.040603005800998196,97.37,0.01408798292620528,USDAUD
19,2023-02-03,1.4438348,Positive,Momentum Continuation,43.52895998507271,Momentum Continuation,42.56367668983585,Long,2023-02-06,1.4187243,2023-02-06,1.4187243,0,0.0,0.03564840461342003,97.76,0.012317061559390592,USDAUD
20,2023-03-07,1.5172205,Positive,Momentum Continuation,48.8292232991001,Momentum Continuation,47.85719786442459,Long,2023-03-08,1.4974215,2023-03-29,1.5281514,15,2.0521870299544265,0.023468815329998716,98.58,0.006881618296595201,USDAUD
21,2023-03-17,1.4788524,Negative,Mean Reversion,44.94564742475436,Mean Reversion,43.98389458981114,Long,2023-03-20,1.4746464,2023-04-03,1.5135602,10,2.638851287417349,0.01560122513264552,99.18,0.004815642779621255,USDAUD
22,2023-04-03,1.47347,Negative,Mean Reversion,47.788341448385815,Mean Reversion,47.53804265948569,Long,2023-04-04,1.4851105,2023-04-04,1.4851105,0,0.0,0.011899148341493611,99.32,0.003983556399216682,USDAUD
23,2023-07-12,1.47215,Negative,Mean Reversion,46.70751219695027,Mean Reversion,47.59871741297446,Long,2023-07-13,1.4872111,2023-07-13,1.4872111,0,0.0,0.021363064920131417,98.86,0.0070228574926465455,USDAUD
24,2023-07-13,1.45167,Negative,Mean Reversion,46.88285397262955,Mean Reversion,47.11259746325699,Long,2023-07-14,1.4718857,2023-07-14,1.4718857,0,0.0,0.028717960848671915,98.56,0.009397825759954615,USDAUD
25,2023-08-01,1.51108,Positive,Momentum Continuation,48.39199253797617,Momentum Continuation,48.04521656887452,Long,2023-08-02,1.5014137,2023-08-02,1.5014137,0,0.0,0.04274133423089774,97.42,0.013953954896093796,USDAUD
26,2023-10-12,1.583255489938411,Positive,Momentum Continuation,50.34021456276481,Momentum Continuation,50.11704256503269,Long,2023-10-16,1.5653203,2023-10-18,1.5663985,2,0.06888354134969703,0.015532594725403793,99.11,0.005013840259477124,USDAUD
27,2023-11-01,1.557001837262168,Negative,Mean Reversion,49.382305153911354,Mean Reversion,50.18146898428432,Long,2023-11-02,1.5677078,2023-11-02,1.5677078,0,0.0,0.02696830314075972,98.49,0.008811753118658991,USDAUD
28,2023-11-14,1.5385,Negative,Mean Reversion,49.6624554613024,Mean Reversion,49.259337523980285,Long,2023-11-16,1.5394738,2023-11-23,1.5554259,5,1.0362053956460726,0.02542530381549125,98.47,0.00850147314074243,USDAUD
29,2023-12-13,1.500217531542074,Negative,Mean Reversion,48.31624478404636,Mean Reversion,48.50093015062126,Long,2023-12-14,1.5151306,2023-12-21,1.5171977,5,0.1364297590913243,0.041890637375246904,97.27,0.014064355197109807,USDAUD
30,2022-05-09,1.30102,Positive,Momentum Continuation,41.61701925245096,Momentum Continuation,41.39786996874822,Long,2022-05-10,1.2949702,2022-05-31,1.3095094,15,1.1227472492167676,0.0260503982423692,98.2,0.009489061736211333,USDCAD
31,2022-05-13,1.2724,Negative,Mean Reversion,38.540190904169364,Mean Reversion,38.73034540098871,Long,2022-05-17,1.2910302,2022-05-25,1.2911049,6,0.005789502551536268,0.01903070912053443,98.71,0.007473961383034632,USDCAD
32,2022-06-09,1.2701,Positive,Momentum Continuation,40.78518525840334,Momentum Continuation,40.370931519071235,Long,2022-06-10,1.2612966,2022-06-20,1.2626889,6,0.11038206712465914,0.028553990173503175,97.86,0.011190353744296196,USDCAD
33,2022-06-13,1.28899,Positive,Momentum Continuation,41.498788340686275,Momentum Continuation,40.830125662930676,Long,2022-06-14,1.276095,2022-06-29,1.2767823,11,0.05385504501263515,0.01646648308925924,98.83,0.006377783928744617,USDCAD
34,2022-07-05,1.3032,Positive,Momentum Continuation,41.54748711414564,Momentum Continuation,41.25360022383409,Long,2022-07-06,1.2891777,2022-07-06,1.2891777,0,0.0,0.009502294522796127,99.43,0.003651549409876251,USDCAD
35,2022-09-13,1.31668,Positive,Momentum Continuation,41.59040754691874,Momentum Continuation,42.30498572939416,Long,2022-09-14,1.3208742,2022-09-16,1.3216951,2,0.062146354212919946,0.034451519014392806,97.84,0.012683608356060635,USDCAD
36,2022-09-26,1.3712,Positive,Momentum Continuation,43.70062226715685,Momentum Continuation,43.40649243431263,Long,2022-09-27,1.3566365,2022-10-12,1.3581679,11,0.11287935318355627,0.014879504355112736,99.01,0.005463234905229541,USDCAD
37,2022-10-06,1.3739,Positive,Momentum Continuation,43.89073563725486,Momentum Continuation,44.185716632989426,Long,2022-10-07,1.3781328,2022-10-12,1.3824489,3,0.31318400334376645,0.014833911291233523,99.19,0.005401313369482931,USDCAD
38,2022-10-21,1.35565,Negative,Mean Reversion,39.529579860698135,Mean Reversion,41.10679391181579,Long,2022-10-24,1.3702037,2022-10-24,1.3702037,0,0.0,0.06380809670885841,97.58,0.027576228762668024,USDCAD
39,2022-10-24,1.36972,Positive,Momentum Continuation,43.281749213935555,Momentum Continuation,43.763302624229766,Long,2022-10-25,1.3675625,2022-10-26,1.3675815,1,0.001385989787608833,0.06211617836348232,97.51,0.026731101227168853,USDCAD
40,2022-11-04,1.3479,Negative,Mean Reversion,40.24142560956694,Mean Reversion,40.84554131870779,Long,2022-11-11,1.361164,2022-11-17,1.3625484,4,0.10170541581996083,0.06384769408834855,96.98,0.027303079157370166,USDCAD
41,2022-11-10,1.33318,Negative,Mean Reversion,38.96017592857142,Mean Reversion,42.95078960006389,Long,2022-11-11,1.3418244,2022-11-11,1.3418244,0,0.0,0.053042417310144405,98.36,0.023077166435042266,USDCAD
42,2022-11-11,1.13213,Negative,Mean Reversion,39.8651104473174,Mean Reversion,38.20712524975165,Long,2022-11-14,1.2699082,2022-11-14,1.2699082,0,0.0,0.0839228736444832,93.82,0.03211090143190273,USDCAD
43,2022-11-14,1.33238,Positive,Momentum Continuation,42.62648602731092,Momentum Continuation,40.510311983596694,Long,2022-11-15,1.2647735,2022-11-15,1.2647735,0,0.0,0.08181982337194756,93.98,0.031287811055279564,USDCAD
44,2022-11-30,1.34142,Negative,Mean Reversion,43.06171401435572,Mean Reversion,43.01914604157626,Long,2022-12-01,1.3443649,2022-12-14,1.3445128,9,0.011004358293393395,0.018146181958920263,98.78,0.006686110297935913,USDCAD
45,2023-01-04,1.34851,Negative,Mean Reversion,43.136611665266095,Mean Reversion,43.4326040695695,Long,2023-01-05,1.3572506,2023-01-05,1.3572506,0,0.0,0.01661408324787549,98.83,0.006179156494180967,USDCAD
46,2023-03-07,1.3748,Positive,Momentum Continuation,44.181444683473366,Momentum Continuation,43.696383236164955,Long,2023-03-08,1.3655578,2023-03-23,1.3663013,11,0.05444722621630887,0.010123227286768916,99.38,0.003644053999532356,USDCAD
47,2023-03-27,1.3654,Negative,Mean Reversion,43.430238484943985,Mean Reversion,43.91591342071106,Long,2023-03-28,1.3724048,2023-03-28,1.3724048,0,0.0,0.02551429278629614,98.17,0.009407360012310916,USDCAD
48,2023-04-14,1.3515,Positive,Momentum Continuation,39.893804212346524,Momentum Continuation,40.294371961418406,Long,2023-04-17,1.3431184,2023-04-17,1.3431184,0,0.0,0.014904855675241895,99.05,0.0054878616231693106,USDCAD
49,2023-04-21,1.3675,Positive,Momentum Continuation,40.95722289528119,Momentum Continuation,40.61485797611068,Long,2023-04-27,1.3539722,2023-05-09,1.3547564,8,0.057915421649450224,0.010153031573577524,99.36,0.0036955585451462062,USDCAD
50,2023-04-24,1.3531,Negative,Mean Reversion,43.869756365546216,Mean Reversion,43.382556695088276,Long,2023-04-27,1.3557389,2023-05-09,1.3558993,8,0.011835295594860773,0.010283020697088918,99.34,0.0038043617340507794,USDCAD
51,2023-05-11,1.3495,Positive,Momentum Continuation,43.1533863953081,Momentum Continuation,42.923123658892976,Long,2023-05-12,1.3413371,2023-05-18,1.341368,4,0.002301823034956338,0.01327817156374183,99.17,0.004902097015692949,USDCAD
52,2023-05-12,1.3654,Positive,Momentum Continuation,40.136663532159034,Momentum Continuation,41.13431914186161,Long,2023-05-15,1.3709389,2023-05-15,1.3709389,0,0.0,0.014811835527318882,99.04,0.005716163642288397,USDCAD
53,2023-05-15,1.3466,Negative,Mean Reversion,42.89923506477588,Mean Reversion,43.28328948434995,Long,2023-05-16,1.3533269,2023-05-16,1.3533269,0,0.0,0.008794406376487846,99.46,0.003197805428527807,USDCAD
54,2023-05-26,1.34146,Negative,Mean Reversion,40.87537443455074,Mean Reversion,40.639336254046526,Long,2023-05-29,1.3546045,2023-05-31,1.3547382,2,0.00987393918955904,0.01878591496217103,98.76,0.007020578742416312,USDCAD
55,2023-05-29,1.36036,Positive,Momentum Continuation,43.43549277275908,Momentum Continuation,43.38071646237488,Long,2023-05-31,1.355697,2023-06-14,1.3561652,10,0.03453093631596677,0.022776287475670415,98.47,0.00849209442134055,USDCAD
56,2023-06-05,1.34483,Positive,Momentum Continuation,43.04996991106442,Momentum Continuation,42.89672029897443,Long,2023-06-06,1.3402699,2023-06-06,1.3402699,0,0.0,0.01553569957946416,99.02,0.005927319451764603,USDCAD
57,2023-06-30,1.30768,Negative,Mean Reversion,39.910297622818376,Mean Reversion,39.56164123551956,Long,2023-07-03,1.3187174,2023-07-03,1.3187174,0,0.0,0.007232284423531254,99.58,0.002727392258865795,USDCAD
58,2023-07-03,1.32476,Positive,Momentum Continuation,42.644985225140026,Momentum Continuation,42.21542446839124,Long,2023-07-04,1.3192357,2023-07-04,1.3192357,0,0.0,0.006571980557577592,99.63,0.002473778476977954,USDCAD
59,2023-12-29,1.30958,Negative,Mean Reversion,39.791320647705255,Mean Reversion,39.522885310224126,Long,2024-01-01,1.3172737,2024-01-01,1.3172737,0,0.0,0.02334582323111015,98.34,0.008739842038002371,USDCAD
60,2022-05-05,0.9852,Positive,Momentum Continuation,31.7604448485294,Momentum Continuation,31.344261071908193,Long,2022-05-06,0.97968036,2022-05-27,0.9818467,15,0.22112628814656624,0.016863778264181076,98.39,0.008445201360919771,USDCHF
61,2022-05-19,0.97221,Negative,Mean Reversion,31.18970501883753,Mean Reversion,31.198575182083765,Long,2022-05-30,0.9740426,2022-06-09,0.9878123,8,1.413663663250197,0.015042520655082471,98.57,0.008968244649829073,USDCHF
62,2022-06-13,0.99671,Positive,Momentum Continuation,32.11569500186625,Momentum Continuation,31.55536204710894,Long,2022-06-14,0.99011713,2022-07-05,1.0163486,15,2.649329746802333,0.04575923980978028,95.59,0.022309482539969925,USDCHF
63,2022-06-16,0.9668,Negative,Mean Reversion,31.26153013562673,Mean Reversion,30.899864842991015,Long,2022-06-30,0.95892787,2022-07-05,1.0019217,3,4.4835263740867495,0.0171277582385773,98.8,0.010887330691925032,USDCHF
64,2022-08-10,0.9424,Negative,Mean Reversion,30.005195069019596,Mean Reversion,30.416153075007568,Long,2022-08-11,0.95038325,2022-08-11,0.95038325,0,0.0,0.01640534075528422,98.57,0.008390043181745235,USDCHF
65,2022-09-26,0.99222,Positive,Momentum Continuation,31.329852461099406,Momentum Continuation,31.447611643248734,Long,2022-09-28,0.9827387,2022-10-12,0.9827627,10,0.0024442583249891935,0.012272297468540817,98.91,0.00617631420145693,USDCHF
66,2022-09-28,0.97779,Negative,Mean Reversion,31.231164209208654,Mean Reversion,31.575086139864595,Long,2022-09-29,0.98668694,2022-09-29,0.98668694,0,0.0,0.012176077539131563,98.9,0.00603409540034875,USDCHF
67,2022-09-30,0.9884305,Positive,Momentum Continuation,29.393737899954754,Momentum Continuation,29.463817316314923,Long,2022-10-03,0.9827704,2022-10-21,0.98962045,14,0.6970156932696698,0.010313232664610976,99.06,0.005689801232810008,USDCHF
68,2022-10-04,0.9787,Negative,Mean Reversion,31.36084155891807,Mean Reversion,31.570059643827715,Long,2022-10-05,0.98657656,2022-10-26,0.9869565,15,0.038508922905305505,0.011575423725464112,98.95,0.005825481348146075,USDCHF
69,2022-10-19,1.00484,Positive,Momentum Continuation,31.678596214569325,Momentum Continuation,31.970523529460095,Long,2022-10-20,0.9990033,2022-11-04,0.999492,11,0.048918605859707955,0.012148277871067885,99.13,0.0061814434556276155,USDCHF
70,2022-11-04,0.9976274,Negative,Mean Reversion,29.91656112297999,Mean Reversion,30.14525365111477,Long,2022-11-08,1.0049561,2022-11-21,1.005303,9,0.034518823612725846,0.05170915832008601,94.84,0.026572698416122243,USDCHF
71,2022-11-10,0.96491,Negative,Mean Reversion,30.026651643557408,Mean Reversion,31.27678880065635,Long,2022-11-11,0.97729236,2022-11-11,0.97729236,0,0.0,0.031234907367897462,96.76,0.016286616881458174,USDCHF
72,2022-11-11,0.9424,Negative,Mean Reversion,28.212912950387857,Mean Reversion,28.97663795369611,Long,2022-11-14,0.96389395,2022-11-14,0.96389395,0,0.0,0.013521781504803838,98.75,0.00727323943783413,USDCHF
73,2022-11-23,0.94096,Negative,Mean Reversion,30.297065300420176,Mean Reversion,30.367540574952404,Long,2022-11-24,0.9491906,2022-11-24,0.9491906,0,0.0,0.012262794951812421,98.88,0.006581429987407254,USDCHF
